genes	counts
geneID00001	22
geneID00002	130
geneID00003	119
geneID00004	325
geneID00005	226
geneID00006	456
geneID00007	2
geneID00008	0
geneID00009	575
geneID00010	1139
geneID00011	1904
geneID00012	52
geneID00013	0
geneID00014	94
geneID00015	4
geneID00016	125
geneID00017	1
geneID00018	243
geneID00019	335
geneID00020	5
geneID00021	3
geneID00022	9
geneID00023	158
geneID00024	247
geneID00025	37
geneID00026	79
geneID00027	47
geneID00028	1
geneID00029	165
geneID00030	0
geneID00031	96
geneID00032	552
geneID00033	0
geneID00034	1
geneID00035	3256
geneID00036	18
geneID00037	79
geneID00038	0
geneID00039	27
geneID00040	159
geneID00041	27
geneID00042	0
geneID00043	0
geneID00044	0
geneID00045	7
geneID00046	110
geneID00047	83
geneID00048	59
geneID00049	0
geneID00050	0
geneID00051	19
geneID00052	0
geneID00053	0
geneID00054	165
geneID00055	33
geneID00056	272
geneID00057	6
geneID00058	0
geneID00059	379
geneID00060	384
geneID00061	1
geneID00062	8
geneID00063	1
geneID00064	0
geneID00065	123
geneID00066	342
geneID00067	1902
geneID00068	224
geneID00069	0
geneID00070	163
geneID00071	7
geneID00072	15
geneID00073	0
geneID00074	150
geneID00075	13
geneID00076	18
geneID00077	169
geneID00078	64
geneID00079	25
geneID00080	160
geneID00081	70
geneID00082	8
geneID00083	47
geneID00084	135
geneID00085	72
geneID00086	521
geneID00087	296
geneID00088	9
geneID00089	224
geneID00090	134
geneID00091	20
geneID00092	154
geneID00093	54
geneID00094	34
geneID00095	192
geneID00096	127
geneID00097	107
geneID00098	151
geneID00099	171
geneID00100	748
geneID00101	199
geneID00102	0
geneID00103	147
geneID00104	38
geneID00105	69
geneID00106	62
geneID00107	0
geneID00108	0
geneID00109	62
geneID00110	65
geneID00111	92
geneID00112	0
geneID00113	0
geneID00114	825
geneID00115	218
geneID00116	171
geneID00117	245
geneID00118	185
geneID00119	285
geneID00120	521
geneID00121	148
geneID00122	1157
geneID00123	157
geneID00124	67
geneID00125	70
geneID00126	18
geneID00127	1167
geneID00128	0
geneID00129	5
geneID00130	1
geneID00131	0
geneID00132	48
geneID00133	105
geneID00134	1423
geneID00135	98
geneID00136	32
geneID00137	106
geneID00138	1
geneID00139	0
geneID00140	133
geneID00141	6
geneID00142	0
geneID00143	5
geneID00144	2
geneID00145	107
geneID00146	22
geneID00147	0
geneID00148	0
geneID00149	10
geneID00150	0
geneID00151	137
geneID00152	37
geneID00153	1
geneID00154	0
geneID00155	1
geneID00156	10
geneID00157	0
geneID00158	70
geneID00159	0
geneID00160	790
geneID00161	0
geneID00162	0
geneID00163	3
geneID00164	0
geneID00165	0
geneID00166	1539
geneID00167	0
geneID00168	0
geneID00169	0
geneID00170	0
geneID00171	0
geneID00172	0
geneID00173	0
geneID00174	128
geneID00175	3
geneID00176	13
geneID00177	14
geneID00178	96
geneID00179	417
geneID00180	0
geneID00181	0
geneID00182	113
geneID00183	1635
geneID00184	52
geneID00185	43
geneID00186	0
geneID00187	6203
geneID00188	0
geneID00189	126
geneID00190	5
geneID00191	0
geneID00192	41
geneID00193	1
geneID00194	0
geneID00195	643
geneID00196	0
geneID00197	18
geneID00198	312
geneID00199	109
geneID00200	267
geneID00201	0
geneID00202	264
geneID00203	1
geneID00204	228
geneID00205	8
geneID00206	5
geneID00207	94
geneID00208	0
geneID00209	134
geneID00210	2
geneID00211	147
geneID00212	198
geneID00213	0
geneID00214	0
geneID00215	0
geneID00216	79
geneID00217	260
geneID00218	0
geneID00219	15
geneID00220	545
geneID00221	0
geneID00222	291
geneID00223	95
geneID00224	52
geneID00225	0
geneID00226	79
geneID00227	240
geneID00228	4
geneID00229	1293
geneID00230	263
geneID00231	102
geneID00232	289
geneID00233	0
geneID00234	61
geneID00235	77
geneID00236	0
geneID00237	27
geneID00238	238
geneID00239	112
geneID00240	0
geneID00241	150
geneID00242	45
geneID00243	46
geneID00244	224
geneID00245	35
geneID00246	91
geneID00247	267
geneID00248	0
geneID00249	299
geneID00250	16
geneID00251	216
geneID00252	221
geneID00253	131
geneID00254	136
geneID00255	91
geneID00256	0
geneID00257	7
geneID00258	309
geneID00259	23
geneID00260	57
geneID00261	0
geneID00262	283
geneID00263	190
geneID00264	1383
geneID00265	0
geneID00266	30
geneID00267	19
geneID00268	88
geneID00269	210
geneID00270	26
geneID00271	11
geneID00272	92
geneID00273	157
geneID00274	1025
geneID00275	62
geneID00276	2
geneID00277	935
geneID00278	31
geneID00279	8
geneID00280	0
geneID00281	796
geneID00282	156
geneID00283	0
geneID00284	8
geneID00285	0
geneID00286	28
geneID00287	88
geneID00288	31
geneID00289	76
geneID00290	53
geneID00291	448
geneID00292	0
geneID00293	3
geneID00294	0
geneID00295	12
geneID00296	192
geneID00297	6
geneID00298	1
geneID00299	624
geneID00300	20
geneID00301	0
geneID00302	0
geneID00303	181
geneID00304	11
geneID00305	397
geneID00306	5
geneID00307	139
geneID00308	20
geneID00309	27
geneID00310	118
geneID00311	10
geneID00312	16
geneID00313	0
geneID00314	20
geneID00315	73
geneID00316	65
geneID00317	224
geneID00318	51
geneID00319	253
geneID00320	34
geneID00321	73
geneID00322	1135
geneID00323	4
geneID00324	16
geneID00325	65
geneID00326	422
geneID00327	80
geneID00328	389
geneID00329	12
geneID00330	125
geneID00331	1037
geneID00332	0
geneID00333	0
geneID00334	323
geneID00335	175
geneID00336	529
geneID00337	39
geneID00338	60
geneID00339	48
geneID00340	20
geneID00341	57
geneID00342	3637
geneID00343	82
geneID00344	81
geneID00345	342
geneID00346	22
geneID00347	0
geneID00348	182
geneID00349	36
geneID00350	7
geneID00351	0
geneID00352	2
geneID00353	84
geneID00354	457
geneID00355	1934
geneID00356	628
geneID00357	468
geneID00358	162
geneID00359	0
geneID00360	0
geneID00361	0
geneID00362	2335
geneID00363	0
geneID00364	0
geneID00365	0
geneID00366	545
geneID00367	320
geneID00368	368
geneID00369	18
geneID00370	216
geneID00371	43
geneID00372	0
geneID00373	18
geneID00374	49
geneID00375	243
geneID00376	4
geneID00377	0
geneID00378	50
geneID00379	2
geneID00380	259
geneID00381	48
geneID00382	56
geneID00383	0
geneID00384	91
geneID00385	3
geneID00386	0
geneID00387	386
geneID00388	0
geneID00389	477
geneID00390	35
geneID00391	156
geneID00392	118
geneID00393	572
geneID00394	29
geneID00395	94
geneID00396	0
geneID00397	266
geneID00398	106
geneID00399	137
geneID00400	318
geneID00401	2804
geneID00402	80
geneID00403	16
geneID00404	460
geneID00405	174
geneID00406	342
geneID00407	6
geneID00408	0
geneID00409	131
geneID00410	151
geneID00411	24
geneID00412	36
geneID00413	78
geneID00414	95
geneID00415	240
geneID00416	71
geneID00417	91
geneID00418	71
geneID00419	122
geneID00420	48
geneID00421	4
geneID00422	170
geneID00423	4
geneID00424	48
geneID00425	0
geneID00426	137
geneID00427	32
geneID00428	3
geneID00429	89
geneID00430	0
geneID00431	0
geneID00432	0
geneID00433	6
geneID00434	110
geneID00435	0
geneID00436	277
geneID00437	377
geneID00438	103
geneID00439	74
geneID00440	236
geneID00441	3125
geneID00442	128
geneID00443	96
geneID00444	85
geneID00445	0
geneID00446	342
geneID00447	0
geneID00448	0
geneID00449	2
geneID00450	141
geneID00451	0
geneID00452	0
geneID00453	0
geneID00454	6
geneID00455	2
geneID00456	174
geneID00457	0
geneID00458	1
geneID00459	135
geneID00460	169
geneID00461	30
geneID00462	214
geneID00463	171
geneID00464	6
geneID00465	205
geneID00466	6
geneID00467	191
geneID00468	131
geneID00469	2
geneID00470	118
geneID00471	220
geneID00472	8
geneID00473	236
geneID00474	0
geneID00475	293
geneID00476	0
geneID00477	26
geneID00478	4
geneID00479	91
geneID00480	316
geneID00481	1
geneID00482	3
geneID00483	0
geneID00484	152
geneID00485	89
geneID00486	1
geneID00487	0
geneID00488	65
geneID00489	131
geneID00490	30
geneID00491	0
geneID00492	0
geneID00493	109
geneID00494	0
geneID00495	7
geneID00496	2
geneID00497	0
geneID00498	244
geneID00499	167
geneID00500	24
geneID00501	0
geneID00502	61
geneID00503	0
geneID00504	1
geneID00505	0
geneID00506	32
geneID00507	125
geneID00508	0
geneID00509	59
geneID00510	41
geneID00511	25
geneID00512	218
geneID00513	63
geneID00514	69
geneID00515	1004
geneID00516	74
geneID00517	95
geneID00518	0
geneID00519	297
geneID00520	6
geneID00521	72
geneID00522	443
geneID00523	0
geneID00524	0
geneID00525	0
geneID00526	190
geneID00527	119
geneID00528	357
geneID00529	69
geneID00530	0
geneID00531	446
geneID00532	124
geneID00533	1
geneID00534	0
geneID00535	1026
geneID00536	27
geneID00537	94
geneID00538	203
geneID00539	86
geneID00540	23
geneID00541	144
geneID00542	162
geneID00543	0
geneID00544	197
geneID00545	0
geneID00546	0
geneID00547	12
geneID00548	0
geneID00549	62
geneID00550	34
geneID00551	1
geneID00552	7
geneID00553	124
geneID00554	1034
