genes	counts
geneID00001	23
geneID00002	140
geneID00003	123
geneID00004	433
geneID00005	319
geneID00006	625
geneID00007	18
geneID00008	0
geneID00009	729
geneID00010	1938
geneID00011	2190
geneID00012	81
geneID00013	0
geneID00014	170
geneID00015	9
geneID00016	123
geneID00017	5
geneID00018	359
geneID00019	309
geneID00020	3
geneID00021	7
geneID00022	15
geneID00023	183
geneID00024	386
geneID00025	59
geneID00026	88
geneID00027	42
geneID00028	0
geneID00029	234
geneID00030	0
geneID00031	119
geneID00032	935
geneID00033	0
geneID00034	0
geneID00035	5086
geneID00036	11
geneID00037	113
geneID00038	0
geneID00039	36
geneID00040	187
geneID00041	38
geneID00042	0
geneID00043	0
geneID00044	0
geneID00045	4
geneID00046	146
geneID00047	159
geneID00048	53
geneID00049	0
geneID00050	0
geneID00051	14
geneID00052	0
geneID00053	1
geneID00054	191
geneID00055	28
geneID00056	404
geneID00057	5
geneID00058	0
geneID00059	520
geneID00060	544
geneID00061	1
geneID00062	11
geneID00063	0
geneID00064	0
geneID00065	109
geneID00066	573
geneID00067	2750
geneID00068	321
geneID00069	3
geneID00070	234
geneID00071	12
geneID00072	31
geneID00073	0
geneID00074	171
geneID00075	7
geneID00076	31
geneID00077	229
geneID00078	61
geneID00079	30
geneID00080	189
geneID00081	94
geneID00082	17
geneID00083	52
geneID00084	196
geneID00085	64
geneID00086	841
geneID00087	322
geneID00088	6
geneID00089	276
geneID00090	193
geneID00091	31
geneID00092	202
geneID00093	57
geneID00094	76
geneID00095	323
geneID00096	174
geneID00097	151
geneID00098	182
geneID00099	253
geneID00100	1204
geneID00101	249
geneID00102	3
geneID00103	158
geneID00104	78
geneID00105	84
geneID00106	148
geneID00107	2
geneID00108	0
geneID00109	77
geneID00110	103
geneID00111	90
geneID00112	2
geneID00113	0
geneID00114	1402
geneID00115	353
geneID00116	172
geneID00117	472
geneID00118	273
geneID00119	388
geneID00120	810
geneID00121	191
geneID00122	1583
geneID00123	150
geneID00124	118
geneID00125	100
geneID00126	50
geneID00127	1681
geneID00128	0
geneID00129	10
geneID00130	1
geneID00131	4
geneID00132	58
geneID00133	141
geneID00134	1513
geneID00135	152
geneID00136	24
geneID00137	153
geneID00138	0
geneID00139	0
geneID00140	206
geneID00141	17
geneID00142	1
geneID00143	5
geneID00144	0
geneID00145	157
geneID00146	32
geneID00147	2
geneID00148	0
geneID00149	40
geneID00150	0
geneID00151	149
geneID00152	43
geneID00153	3
geneID00154	0
geneID00155	0
geneID00156	16
geneID00157	3
geneID00158	68
geneID00159	0
geneID00160	1164
geneID00161	0
geneID00162	6
geneID00163	7
geneID00164	0
geneID00165	0
geneID00166	1936
geneID00167	1
geneID00168	0
geneID00169	0
geneID00170	0
geneID00171	0
geneID00172	0
geneID00173	1
geneID00174	154
geneID00175	3
geneID00176	24
geneID00177	17
geneID00178	102
geneID00179	751
geneID00180	0
geneID00181	0
geneID00182	139
geneID00183	2829
geneID00184	67
geneID00185	52
geneID00186	0
geneID00187	7818
geneID00188	0
geneID00189	250
geneID00190	13
geneID00191	0
geneID00192	52
geneID00193	1
geneID00194	5
geneID00195	843
geneID00196	1
geneID00197	23
geneID00198	321
geneID00199	138
geneID00200	430
geneID00201	1
geneID00202	361
geneID00203	17
geneID00204	629
geneID00205	20
geneID00206	6
geneID00207	114
geneID00208	0
geneID00209	142
geneID00210	0
